category,category_label,token,label,type,unit,themeable,cardinality,value_index,css_properties,value_light,value_dark
color,색상,--app-bg,페이지 배경,color,,true,single,0,background-color,#F6F6F6,#000000
color,색상,--app-panel,패널 배경,color,,true,single,0,background-color,#FFFFFF,#24242A
color,색상,--app-surface,표면 배경,color,,true,single,0,background-color,#F6F6F6,#262626
color,색상,--app-ink,본문 글자색,color,,true,single,0,color,#171717,#FFFFFF
color,색상,--app-ink-soft,보조 글자색,color,,true,single,0,color,#404040,#CCCCCC
color,색상,--app-sub,서브 글자색,color,,true,single,0,color,#525252,#969696
color,색상,--app-muted,흐린 글자색,color,,true,single,0,color,#737373,#737373
color,색상,--app-line,구분선,color,,true,single,0,border-color,#E5E5E5,#404040
color,색상,--app-line-strong,강한 구분선,color,,true,single,0,border-color,#CCCCCC,#525252
color,색상,--app-focus,포커스 링,color,,true,single,0,outline-color;border-color,#D30000,#FF2F2F
color,색상,--app-accent,강조색,color,,true,single,0,color;background-color;border-color,#D30000,#FF2F2F
color,색상,--app-accent-soft,강조 배경(연함),color,,true,single,0,background-color,#FDECEC,"rgba(211, 0, 0, 0.18)"
color,색상,--app-success,성공,color,,true,single,0,color;background-color,#039855,#12B76A
color,색상,--app-success-hover,성공 hover,color,,true,single,0,background-color,#027A48,#039855
color,색상,--app-success-soft,성공 배경(연함),color,,true,single,0,background-color,#ECFDF3,"rgba(18, 183, 106, 0.16)"
color,색상,--app-danger,위험,color,,true,single,0,color;background-color,#D92D20,#F04438
color,색상,--app-danger-soft,위험 배경(연함),color,,true,single,0,background-color,#FEF3F2,"rgba(240, 68, 56, 0.16)"
color,색상,--app-danger-ink,위험 글자,color,,true,single,0,color,#B42318,#FDA29B
color,색상,--app-danger-line,위험 구분선,color,,true,single,0,border-color,#FECDCA,"rgba(240, 68, 56, 0.36)"
color,색상,--app-warning,경고,color,,true,single,0,color;background-color,#D28D08,#F7A609
color,색상,--app-warning-soft,경고 배경(연함),color,,true,single,0,background-color,#FFFAEB,"rgba(247, 166, 9, 0.16)"
color,색상,--app-warning-ink,경고 글자,color,,true,single,0,color,#AF7606,#F7A609
color,색상,--app-warning-line,경고 구분선,color,,true,single,0,border-color,#FEDF89,"rgba(247, 166, 9, 0.34)"
color,색상,--app-on-accent,강조 위 글자색,color,,true,single,0,color,#FFFFFF,#FFFFFF
color,색상,--app-overlay,오버레이,color,,true,single,0,background-color,"rgba(0, 0, 0, 0.48)","rgba(0, 0, 0, 0.6)"
